Názov stanice,Cestovný poriadok,Bezbariérový prístup
Čierne pri Čadci,129,áno
Čierne pri Čadci zastávka,129,áno
Čierne-Polesie,129,áno
Čirč,188,áno
Čoltovo,160,áno
Čremošné,170,
Číž kúpele,160,
Ďurková,188,áno
Ľubiša,191,
Ľubochňa,180,áno
Ľubotín,188,áno
Ľudovítov,130,áno
Šahy,153,
Šajdíkove Humence,116,áno
Šalková,172,áno
Šarišské Lúky,"193,194",áno
Šarišské Michaľany,188,áno
Šaľa,"130,134",áno
Šaštín-Stráže,116,áno
Šelpice,116,áno
Šenkvice,120,áno
Šiatorská Bukovinka,164,
Šiba,194,
Štrba,"120,180,182",áno
Štrba OŽ,182,
Štrba zastávka,180,áno
Štrbské Pleso,"182,183,184",
Štrbské Pleso OŽ,182,
Štrkovec,160,
Štítnik,166,
Štítnik mesto,166,
Štúrovo,"130,152",áno
Šurany,"130,140,150,151",
Šurany zastávka,"150,151,156",
Švedlár,173,áno
Švedlár zastávka,173,
Švošov,180,áno
Šášovské Podhradie,150,
Šíd,160,áno
Šúrovce,133,
Šútovo-Ratkovo,180,áno
Ťahanovce,180,áno
Žabokreky nad Nitrou,140,áno
Žakarovce,173,áno
Žarnovica,150,
Želiezovce,152,
Žiar nad Hronom,150,
Žiar nad Hronom zastávka,150,
Žihárec,134,
Žihárec zastávka,134,
Žilina,"120,126,127,180",áno
Žilina zariečie,126,áno
Žilina-Solinky,126,áno
Žirany,141,
